"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3077","cross-browser snapshots","cross-firefox","Fri Nov 21 15:12:58 UTC 2025","passed","Fri Nov 21 15:13:01 UTC 2025","","visual/cross-browser/landingpage.spec.ts","",""
"","5783","cross-browser snapshots","cross-chromium","Fri Nov 21 15:12:46 UTC 2025","passed","Fri Nov 21 15:12:52 UTC 2025","","visual/cross-browser/landingpage.spec.ts","",""
