"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3664","cross-browser snapshots","cross-firefox","Fri Nov 21 15:10:00 UTC 2025","passed","Fri Nov 21 15:10:04 UTC 2025","","visual/cross-browser/landingpage.spec.ts","",""
"","7283","cross-browser snapshots","cross-chromium","Fri Nov 21 15:09:45 UTC 2025","passed","Fri Nov 21 15:09:52 UTC 2025","","visual/cross-browser/landingpage.spec.ts","",""
